major,track,course_code,course_title_en,course_title_ar,credits,prerequisites,description,,
CS,cs_required,CPCS202,Programming (I),????? (?),3,NONE,"The objective of this course is to cover the
fundamental concepts of procedural programming.
This course introduces the Java programming
language and helps students develop basic
problem-solving skills. Topics include algorithms,
flowchart, API, IDE, and JDK, numerical data,
primitive data type, short hand operators , cast
value of one type to another type , selection
statements, switch statements, break and continue
statements, relational operators, logical operators,
logical expressions, Boolean variable, Boolean
expressions, repetition statements, nested loops,
methods, pass arguments to a method, method
overloading, method abstraction, use of methods in
the math class, arrays, common array operations,
methods with array arguments and return value,
search and sort operations on array.",,
CS,cs_required,CPCS203,Programming (II),????? (?),3,CPCS202,"The objective of this course is to cover the basic and
intermediate concepts of object oriented
programming. Topics include the use of numerical
data, primitive data types, selection statements,
repetition statements, class, standard classes,
object, instance of a class, object oriented
programming, software development, constructor,
methods, call by values, call by reference, UML,
state memory diagram, class diagram, arrays,
method overloading, constructor overloading,
overriding, this, new, exception and assertions,
Inheritance, encapsulation, data abstraction,
private, public, protected, exception, inheritance,
abstract class, polymorphism, file handling.",,
CS,cs_required,CPCS204,Data Structures (I),?????? ???????? (?),3,CPCS203,"The objective of this course is to provide students
an understanding of abstract data structures,
including, but not limited to, arrays, linked lists,
queues, stacks, trees, and graphs. The course also
aims to give a conceptual understanding of the
trade-offs between various data structures, hence
enabling students to choose an optimal data
structure for a particular application. The students
will also learn concepts of algorithmic design,
recursion, and a variety of searching and sorting
algorithms.",,
CS,cs_required,CPCS331,Artificial Intelligence (I),?????? ????????? (?),3,CPCS204,"The objective of this course is to provide a broad
overview of AI and building intelligent systems.
Topics include intelligent agents, problem-solving
as a search activity, knowledge representation,
planning, reasoning and learning. Students will also
be introduced to evolutionary computation (EC),
natural language processing (NLP), and
programming in Prolog.",,
CS,cs_required,CPIT201, Introduction to Computing,????? ?? ???????,3,NONE,"The objective of this course is to present computer
science subject areas and applications in ways that
serve to motivate the study of computer science
and to put into context the various subjects that
students encounter later in their studies. Topics
include an introduction to the discipline of
computing, computer systems, number systems,
data representation, basic computer organization,
operating system functionality, basics of
networking, the Internet, an overview of database
systems, models, software engineering
methodologies, and programming languages.",,
CS,cs_required,STAT210, Introduction to Computing Statistics,????? ???????? ,,NONE,NONE,,
CS,cs_required,CPIT201,Introduction to Computing,????? ?????,3,NONE,"The objective of this course is to provide an
introduction to the computer science discipline.
Topics include the representation and manipulation
of data in computers, description of computer
hardware components and how the work, and an
overview of operating systems, algorithms, and
programming languages.",,
CS,cs_required,STAT210,Introduction to Computing Statistics,????? ????????,3,STAT110,NONE,,
CS,cs_required,CPIT221,Technical Writing,?????? ?????,2,STAT111,"The objective of this course is to study the
fundamentals of technical communication. Topics
include the concepts of technical communication
and its differences with academic writing,
processes in technical communication, tools and
techniques to perform collaborative projects and
writing, formatting the technical documents with
modern tools and techniques, techniques to write
official letters, memos and e-mails, writing
definitions and descriptions, writing informal
reports to address immediate and intermediate
tasks accomplishment, writing formal reports to
portray the complex nature of issues, writing
informal proposals to cover projects with limited
scope, writing formal proposals to submit a
detailed document, normally applied to large
projects, developing presentation skills, preparing
effective CV’s and cover letters, developing skills
for job interviews, learning styles in technical
writing for effective revision, and practicing
professional presentations in a seminar
environment.",,
CS,cs_required,ISLS101,Islamic Culture (I),????? ??????? (?),2,STAT112,NONE,,
CS,cs_required,CPCS222,Discrete Structures (I),?????? ?????? (?),3,STAT113,"The objective of this course is to study the logical
and algebraic relationships between discrete
objects. This course cultivates clear thinking and
creative problem solving by developing students’
mathematical maturity in several core areas: logic
and proofs, sets, functions, relations, and counting
techniques.",,
CS,cs_required,MATH202,Calculus (II),????? ?????? (?),3,STAT114,NONE,,
CS,cs_required,ARAB101,Language Skills,?????? ?????,3,STAT115,NONE,,
CS,cs_required,ISLS201,Islamic Culture (II),????? ??????? (?),2,STAT116,NONE,,
CS,cs_required,CPCS204,Data Structures (I),?????? ?????? (?),3,STAT117,"The objective of this course is to provide students
an understanding of abstract data structures,
including, but not limited to, arrays, linked lists,
queues, stacks, trees, and graphs. The course also
aims to give a conceptual understanding of the
trade-offs between various data structures, hence
enabling students to choose an optimal data
structure for a particular application. The students
will also learn concepts of algorithmic design,
recursion, and a variety of searching and sorting
algorithms.",,
CS,cs_required,CPCS211,Digital Logic Design,????? ?????? ??????,3,STAT118,"This objective of this course is to provide an
introduction to the fundamental concepts of digital
logic design. Topics include number systems, binary
codes, Boolean algebra, canonical and fundamental
forms of Boolean functions, functions applications
to digital circuits design, minimization of Boolean
functions by Boolean algebra and Karnaugh maps,
two -level and multi-level digital circuits, decoders,
encoders, multiplexers, demultiplexers, latches,
flip-flops, registers, counters, analysis and synthesis
of synchronous sequential circuits. Additionally,
this course includes a laboratory component in
which students apply the design principles learned
in lectures to the design of combinational circuits
and synchronous sequential circuits.",,
CS,cs_required,CPCS212,Applied Math for Computing (I),??????? ??????? ??????? (?),4,STAT119,"The objective of this course is to familiarize
students with the basic concepts of applied
mathematics used in computer science. Topics
include: Matlab: matrices and arrays, Matlab:
graphics, Matlab: programming, solution of
nonlinear equations, solution of systems of linear
equations, numerical integration, numerical
differentiation, and ordinary differential equations.",,
CS,cs_required,CPCS214,Computer Organization and Architecture (I),????? ?????? ?????? (?),3,STAT120,"The objective of this course is to explain how
computers are designed and how they work.
Students are introduced to modern computer
principles using a typical processor. They learn how
efficient memory systems are designed to work
closely with the processor, and how input/output
(I/O) systems bring the processor and memory
together with a wide range of devices. The course
emphasizes system-level issues and understanding
program performance. Topics include instructions
sets, assembly language, internal data
representation, computer arithmetic, processor
data path and control, memory hierarchy, I/O
devices and interconnects, and an introduction to
parallel processing.",,
CS,cs_required,CPCS223,Analysis & Design of Algorithms,????? ?????? ???????????,3,STAT121,"This is the first of a two-course sequence on
computer-based algorithmic solution design and
advanced data structures. It introduces
fundamental algorithms for classic computing
problems, the techniques used to construct them,
their performance and applications. Topics include:
formal definition and characterization of
algorithms, recurrence relations, asymptotic
notation and efficiency classes, iterative and
recursive algorithm efficiency, empirical analysis of
performance, advanced data structures such as
balanced trees, and the design techniques: brute
force, divide-conquer, decrease-conquer, problem
transformation, and trading space for time.",,
CS,cs_required,CPCS241,Database (I),????? ?????? (?),3,STAT122,"This objective of this course is to introduce students
to database management systems. Topics include
Data, Information, File System, Database and
Database Users, Database System Concepts and
Architecture, Data Modeling using the Entity
Relationship (ER) Model, The Relational Data Model
and Relational Database Constraints, Functional
Dependencies and Normalization for Relational
Databases, The Relational Algebra and Relational
Calculus, Relational Database Design by ER and EER
to Relational Mapping, Disk Storage, Basic File
Structure and Hashing, SQL-99 Schema Definition,
Constraints, Queries and Views (DDL and DML).",,
CS,cs_required,CPCS301,Programming Languages,???? ?????,3,STAT123,"The objective of this course is to provide a
comprehensive coverage of the fundamental
concepts of programming languages by discussing
the design issues of the various languages
constructs, examining the design choices for these
constructs in some of the most common languages,
and critically comparing design alternatives. It
discusses the formal methods of describing the
syntax and semantics of programming languages.",,
CS,cs_required,CPCS324,Algorithms & Data Structures (II),????????? ??????? ?????? (?),3,STAT124,"This is the second of a two-course sequence on
algorithmic solution design and advanced data
structures. The objective of this course is to study
algorithms from a major application area, to
illustrate advanced design techniques, and to
introduce main concepts in computational
complexity. The course should provide an
opportunity to work with complex data structures
and develop advanced programming skills. It should
include significant discussion of applications and
capstone project ideas. Topics include space and
time trade-off techniques, limitations of algorithm
power, and algorithms that illustrate advanced
design methods such as dynamic programming,
iterative improvement and greedy techniques.
Suggested application areas include: graphs,
operations research, computational geometry,
bioinformatics, and cryptography.",,
CS,cs_required,CPCS331,Artificial Intelligence (I),???? ??????? (?),3,STAT125,"The objective of this course is to provide a broad
overview of AI and building intelligent systems.
Topics include intelligent agents, problem-solving
as a search activity, knowledge representation,
planning, reasoning and learning. Students will also
be introduced to evolutionary computation (EC),
natural language processing (NLP), and
programming in Prolog.",,
CS,cs_required,CPCS361,Operating Systems (I),??? ??????? (?),3,STAT126,"The objective of this course is to provide a general
overview of operating systems concepts and recent
methodologies and techniques used in the field and
their trades-offs, with various examples from the
contemporary used systems. Topics include the
basic structure of an operating system, its
interaction with the hardware, software, and users,
and the services it provides. The course illustrates
different algorithms and techniques used in
controlling, managing, and allocating various
computer resources, such as CPU, memory, storage
and I/O devices. It demonstrates the tuning of the
operating system for maximizing the utilization and
increasing the performance of the computer
system.",,
CS,cs_required,CPCS371,Computer Networks (I),????? (?),3,STAT127,"The objective of this course is to provide an
introduction to computer networks and the ISO-7
layers reference model, which includes necessary
protocols. Selected network layers, such as data
link layer, transport layer, network layer, etc., will
be focused on with detailed information. In
addition to this, network security, web technologies
and application layer will also be introduced.",,
CS,cs_advanced_computing,CPCS403,Internet Application Programming,????? ??????? ??????,3,STAT128,"The objective of this course is to provide a broad
overview of Internet and Web technologies. Topics
include HTML, XHTML, CSS, client-side scripting

(JavaScript), server-side scripting (PHP), Web data-
base connectivity, and XML Technologies. The

students will be encouraged to design, implement,
and evaluate small-scaled Web projects in
groups/teams.",,
CS,cs_advanced_computing,CPCS466,System Programming ,????? ???,3,STAT129,"The objective of this course is to explore the design,
development, and operation of system
applications. Topics include the difference between
system software and application software in terms
of development features and area of application,
file systems, permanent and temporary storage
systems, assembly compiler, high-level languages,
application setup, memory management system,
and processes carried out under the operating
systems.",,
CS,cs_advanced_computing,CPCS494,Selected Topics ,??????? ??????,3,STAT130,"The objective of this course is to explore selected
topics about the latest advancements in the field of
Computer Science (topics determined by the
Council of the Computer Science Department).",,
CS,cs_advanced_computing,CPCS405,Software Technology Topics,??????? ?? ????? ???????,3,STAT131,"The objective of this course is to explore recent
topics related to Software Technology. Topics
include Object-Oriented Programming
fundamental concepts, advanced swing graphical
user interface, advanced exception Handling
Techniques, Streams and Files, multithreading
programming, and networking programming.
Moreover, the course also focuses on database
programming (JDBC), servlets and java server pages
(JSP), and Java Security.",,
CS,cs_artificial_intelligence,CPCS432,Artificial Intelligence (II),???? ??????? 2,3,STAT132,"The objective of this course is to explore advanced
topics concerning Artificial Intelligence and to cover
programming language related to AI.",,
CS,cs_artificial_intelligence,CPCS433,Artificial Intelligence Topics,??????? ???? ???????,3,STAT133,"The objective of this course is to explore recent
topics related to Artificial Intelligence and the latest
advances in this field.",,
CS,cs_artificial_intelligence,CPCS482,Multimedia & UI Design,????? ?????? ?????? ???? ????????,3,STAT134,"The objective of this course is to explore the
fundamentals of multimedia and the use of
multimedia in user interface design. The course is
intended to give students both a theoretical
understanding of, and practical experience with,
designing multimedia products and the user
interface design.",,
CS,cs_artificial_intelligence,CPCS494,Selected Topics ,??????? ??????,3,STAT135,"The objective of this course is to explore selected
topics about the latest advancements in the field of
Computer Science (topics determined by the
Council of the Computer Science Department).",,
CS,cs_cyber_security,CPCS425,Information Security,??? ???????,3,STAT136,"The objective of this course is to provide basic
knowledge on the technical and operational issues
of modern cryptosystems and the related
standards. Topics include threats to network
security and schemes for breaking security,
classical encryption techniques, block ciphers and
stream ciphers, DES and triple DES, AES, block
cipher operation modes, asymmetric ciphers: RSA,
Diffie-Hellman key exchange, ElGamal
cryptosystem, hash functions, MAC functions,
digital signature, key management and
distribution, X.509 certificates, transport level
security: SSL and TLS, Intrusion, and types and
configurations of firewalls.",,
CS,cs_cyber_security,CPCS463,Computing Systems Security,??? ??? ???????,3,STAT137,"The objective of this course is to introduce the
fundamentals of Computer Security Systems and
the potential risks and vulnerabilities in these
therein. Topics include security management
practices, access control systems and methodology,
networks and Internet security, enterprise security
architecture, operations security law, investigation,
and ethics.",,
CS,cs_cyber_security,CPCS464,Dependable Computing,????? ??????,3,STAT138,"The objective of this course is to acquaint students
with the high-reliability computer systems used in
fault intolerant critical applications. Topics include
computing systems security, applications that
require high-quality computer systems, mobile

client system, various security protocols, multi-
distribution system, breach discovery and

prevention, wireless networks reliability
measurement, and ensuring the quality of service.",,
CS,cs_cyber_security,CPCS494,Selected Topics,??????? ??????,3,STAT139,NONE,,
CS,cs_high_performance_computing,CPCS413,Computer Architecture II,????? ???? 2,3,STAT140,"The objective of this course is to explore modern
computer architecture approaches, such as
designing advanced computer instructions,
parallelism, and the advanced methods of data
processing.",,
CS,cs_high_performance_computing,CPCS414,High Performance Computing,????? ???? ????,3,STAT141,"The objective of this course is to provide an in-
depth overview of the current state of the art in

high-performance computing. Additionally, the
course provides more information about the
architecture of high-performance computers.",,
CS,cs_high_performance_computing,CPCS494,Selected Topics ,??????? ??????,3,STAT142,"The objective of this course is to explore selected
topics about the latest advancements in the field of
Computer Science (topics determined by the
Council of the Computer Science Department).",,
CS,cs_network_computing,CPCS372,Computer Network (II),????? ????   2,3,STAT143,"The objective of this course is to introduce students
to the principles, design, implementation, and
performance of computer networks. This course is
based on the layering architecture and covers the
routing protocols in detail. Topics include Internet
routing protocols, local area networks, congestion
control, TCP, wireless communications and
networking, mobile IP, performance analysis,
network address translation, multimedia over IP,
switching and routing, peer-to-peer networking,
network security, and other current research topics
in the area of computer networks.",,
CS,cs_network_computing,CPCS473,Computer Network Practice,?????? ????? ??????,3,STAT144,"The objective of this course is to explore topics
related to the practical aspects of networks,
thereby familiarizing students with the various
network components. The course provides an
understanding of the network design and analysis
as well as network architecture, including
requirements validation and traceability. Students
will be introduced to analyzing, developing, and
validating requirements regarding the network
architecture, in addition to network management
principles and performance evaluation.",,
CS,cs_network_computing,CPCS474,TCP/IP & Web Networking,????? TCP/IP ??????,3,STAT145,"The objective of this course is to study the
fundamentals of TCP/IP networks, technologies,
and the Web. Topics include HTTP protocols, Web
protocols, TCP/IP networks, Web services and
standards.",,
CS,cs_software_engineering,CPCS353,Software Engineering Practices,??????? ????? ?? ????? ?????????,3,STAT146,"The objective of this course is to further explore the
design and thinking of object-oriented software
engineering, from analysis through testing. Topics
include practices of software project management,
project estimation, distributed system
architectures (client/ server), distributed object
model, building client/server applications based-on
Object-oriented technology, and Object-Oriented
software engineering approach. The course will also
teach students the principles and practices of
software testing, validation, verification,
maintenance, writing documentation, and
evaluation of systems and tools.",,
CS,cs_software_engineering,CPCS404,Component Based Computing,????? ?????????,3,STAT147,"The objective of this course is to familiarize
students with Component-Based Computing.
Topics include component fundamentals, rationale
of using component-based computing, and their
standard criteria. The course also focuses on recent

researches and techniques related to component-
based computing. Moreover, it covers issues

related to the component-based technology, the
various tools of component-based computing, and",,
CS,cs_software_engineering,CPCS454,Object Oriented Analysis & Design,????? ?????? ????,3,STAT148,"The objective of this course is to familiarize
students with the fundamental foundations of
Object-Oriented Approach in relation to systems
and the advantages of this method. This course
covers understanding various approaches and
methodologies used in different phases of software
development lifecycle, including requirements,
analysis and specification, software design,
software construction, software maintenance, and
software process.",,
CS,cs_software_engineering,CPCS457,Software Engineering Theory,????? ????? ?????????,3,STAT149,"The objective of this course is to study the methods,
values, attitudes, and techniques in software
systems. It provides an understanding of the need
for rigour and enables students to select and apply
a relevant methodological approach to the
development of well-designed and documented
systems.",,
IS,is_required,BUS230,Principles of Management,?? ????,3,STAT150,NONE,,
IS,is_required,BUS232,Principles of Marketing,?? ????,3,STAT151,NONE,,
IS,is_required,BUS233,Organizational Behavior,?? ????,3,STAT152,NONE,,
IS,is_required,ACCT333,Principles of Corporate Accounting,?? ????,2,STAT153,NONE,,
IS,is_required,CPIS210,Computer Architecture & Organization,?? ????,3,STAT154,"The objective of this course is to study the  internal architecture/components of the  computer, how they are integrated together,  and the way they are controlled. This course  should be preceded by an introduction in  Logic and Digital Design. Topics include basic  scientific concepts of how data networks  function, data transferring techniques  starting from hardware levels to high levels  of data transferring protocols over intra networks, and the scientific theories on  which the modern digital communication  technology is based.  ",,
IS,is_required,CPIS220,Principles of Information Systems,?? ????,3,STAT155,"The objective of this course is to provide  students with an overall understanding of  the main concepts of information systems  and to highlight the importance of  information systems in modern  organizations and societies. Topics include  information, data, and system concepts,  information requirements in modern  organizations and businesses (including  decision making, operations, and other types  of requirements), introducing different types  of information systems, exploring the  systems development life cycle (analysis,  design, and implementation), methodologies  of developing information systems,  managing resources of information systems  (data, hardware, software, etc.), knowledge  management, quality and evaluation of  information systems, ethical, social, and  security issues of information systems  ",,
IS,is_required,CPIS222,Principles of Operating Systems,?? ????,3,STAT156,"The objective of this course is to present the  basic concepts, modules and algorithms that  work as intermediary programs between the  user and the hardware, known as operating  systems. It covers the basic concepts of  recent operating systems, how they are  designed and the way they work in terms of  their efficiency and reliability. Also, it  
compares the techniques used inside the  operating systems in terms of their speed  and use of space. Topics include an overview  of operating systems, operating system  principles, CPU scheduling and dispatch,  concurrency, memory management, and  virtual memory.  ",,
IS,is_required,CPIS240,Database Management Systems (I),?? ????,3,STAT157,"This course is the first in a series of courses  on designing and implementing database  information systems. The objective of this  course is to prepare students to become able  to implement a working database system  using one of the popular commercial DBMSs, such as Oracle or MS SQL Server. The course  introduces students to the concepts of  databases and database modeling and  design. It, in particular, provides students  with a three-stage methodology for  designing relational database applications,  namely, conceptual, logical, and physical  database modeling and design. In the first  stage students will build a conceptual data  model that is independent of all physical  considerations. They will then transform this  model in the second stage into the relational  database logical model. In the third stage,  students will translate the logical data model  into a physical design for the target DBMS.  Topics include basic concepts of databases,  the 3-stage modeling and design  methodology, the concepts of the relational  database, conceptual data modeling using  ERD, from ERD to RDB and reverse  engineering, data normalization, SQL:DDL,  SQL: manipulation and query languages, and  relational algebra for querying.  ",,
IS,is_required,CPIS250,Software Engineering,?? ????,3,STAT158,"The objective of this course is to introduce  the basic concepts and required skills for  software engineering. It covers the basic  concepts and skills required for developing  large scale applications that take long  periods of time. The course presents the  latest methods and techniques used in  software engineering obtained from the  actual practice in the field as well as latest  advances accomplished by specialist research centers. Also, it particularly  emphasizes on the role of team work on  developing software and the skills required  to work as part of a team. Topics include  foundation for systems development,  methodologies of IS development, software  process models, process iteration, process  activities, project management, project  scope, project management life cycle,  managing IS project, planning IS project,  feasibility study of IS project, models of  software development, determining system  requirements (functional and non-functional  requirements), data modeling and E-R-D  model, object-oriented analysis and  modeling, systems structure modeling,  object, class, attributes, methods, classes  relationships, generalization, specialization,  association, class diagrams, object-oriented  analysis and modeling.  ",,
IS,is_required,CPIS312,Information & Computer Security,?? ????,3,STAT159,"The objective of this course is to equip  students with the scientific and  mathematical concepts and skills related to  information security. Topics include the  security of information and software  systems, including attacks and data  encryption, mathematical foundations,  algorithms of cryptography, ways of  distributing keys, techniques of data  protection over computer networks, and  controlling access using passwords.  ",,
IS,is_required,CPIS323,Summer (Workplace) Training,?? ????,0,STAT160,"This is mandatory, 200-hour internship  program for all FCIT students. The objective  of this course is to provide students the  opportunity to apply their academic  education with hands-on, real world  experience in a work setting. Students are  sent to different companies to get the real  flavor of work group, communications, and  professional development experiences. ",,
IS,is_required,CPIS342,Data Warehousing and Mining,?? ????,3,STAT161,"The objective of this course is to study the  basic concepts of data mining & warehousing  and the required skills to develop and use  them. It emphasizes on employing data  warehousing to support the decision-making  process. It also covers the architectures of  data warehousing and the infrastructural  settings to develop them. It explains various  ways of extracting, analyzing data to support  the decision-making process. This course is  intended to develop the student’s ability to  extract information from data and identify  patterns and trends by designing a data  warehouse and by applying data mining  methods for classification, clustering, and  association analysis. ",,
IS,is_required,CPIS351,IS Analysis & Architecture Design,?? ????,3,STAT162,"The objective of this course is to introduce  methods used in IS analysis in order to  identify and characterize needs and to  automate and create computer systems for  them. The automated systems incorporate  several technologies, and this course studies  the way making optimum use of such  systems for the users' service. The course  emphasizes on the design phase activities  and also presents design using structural and  object-oriented techniques. Topics include  system architectures design, traditional  approach to design, object-oriented  approach to design for applications,  designing files and database, designing the  user interface, designing the system  interface and prototyping, controls and  security, implementation, and support  issues.  ",,
IS,is_required,CPIS352,IS Applications Design & Development,?? ????,3,STAT163,"The objective of this course is to explore the  design, selection, implementation, and  management of enterprise IT solutions. The  focus is on applications and infrastructure  and their fit with the business. Topics include  frameworks and strategies for infrastructure  management, system administration,  data/information architecture, content  management, distributed computing,  middleware, legacy system integration,  system consolidation, and software  selection, total cost of ownership calculation,  IT investment analysis, and emerging  technologies. These topics are addressed  both within and beyond the organization,  with attention paid to managing risk and  security within audit and compliance  standards. Students also hone their ability to  communicate technology architecture  strategies concisely to a general business  audience.  ",,
IS,is_required,CPIS354,Principles of Human Computer Interaction,?? ????,3,STAT164,"The objective of this course is to provide an  introduction to the field of systems provides the students with  knowledge to understand what influences  usability and acceptance of IS. Topics include  the examination of human performance,  components of technology, methods and  techniques used in design and evaluation of  IS, societal impacts of HCI, user-centered  design methods, and the contemporary  technologies used in empirical evaluation  methods.  ",,
IS,is_required,CPIS357,Software Quality and Testing,?? ????,3,STAT165,The objective of this course is to study the  significance of quality during the process of  developing software. Topics include the  basic concepts of software quality assurance  during all the stages of software  development process and quality standard  systems used in the field of software industry  and Information Systems.  ,,
